@RELATION pnts-dense
@ATTRIBUTE root~0~6~0~combined NUMERIC
@ATTRIBUTE gas_tank~1~6~0~combined NUMERIC
@ATTRIBUTE handle~2~6~0~combined NUMERIC
@ATTRIBUTE light~3~6~0~combined NUMERIC
@ATTRIBUTE seat~4~6~0~combined NUMERIC
@ATTRIBUTE whyeel~5~6~0~combined NUMERIC
@ATTRIBUTE other...~6~6~0~combined NUMERIC
@DATA
0.00,0.12,0.11,0.16,0.13,0.30,0.19
0.00,0.63,0.57,0.83,0.69,0.53,0.00
0.00,0.07,0.06,0.09,0.08,0.19,0.50
0.00,0.23,0.20,0.29,0.25,0.20,0.00
0.00,0.26,0.23,0.34,0.28,0.23,0.00
0.00,0.11,0.10,0.15,0.12,0.48,0.03
0.00,0.22,0.19,0.28,0.38,0.19,0.00
0.00,0.20,0.14,0.20,0.19,0.13,0.14
0.00,0.12,0.11,0.15,0.13,1.00,0.00
0.00,0.36,0.32,0.47,0.39,0.30,0.00
0.00,0.13,0.11,0.16,0.14,0.11,0.35
0.00,0.12,0.11,0.16,0.13,0.98,0.00
0.00,0.14,0.12,0.17,0.15,0.11,0.30
0.00,0.28,0.16,0.23,0.76,0.15,0.00
0.00,0.22,0.20,0.29,0.24,0.75,0.00
0.00,0.23,0.21,0.30,0.25,0.86,0.00
0.00,0.61,0.29,0.43,0.38,0.26,0.00
0.00,0.14,0.12,0.18,0.15,0.12,0.29
0.00,0.09,0.08,0.12,0.10,0.96,0.00
0.00,0.36,0.33,0.48,0.41,0.34,0.00
0.00,0.32,0.27,0.39,0.32,0.24,0.00
0.00,0.25,0.22,0.32,0.27,0.21,0.00
0.00,0.53,0.26,0.38,0.51,0.24,0.00
0.00,0.29,0.27,0.39,0.32,0.28,0.00
0.00,0.33,0.30,0.44,0.37,0.49,0.00
0.00,0.14,0.13,0.19,0.15,0.93,0.00
0.00,0.42,0.22,0.29,0.33,0.17,0.00
0.00,0.25,0.16,0.26,0.21,0.15,0.00
0.00,0.17,0.16,0.23,0.19,0.34,0.00
0.00,0.17,0.15,0.22,0.18,0.15,0.14
0.00,0.30,0.27,0.39,0.33,0.88,0.00
0.00,0.31,0.20,0.29,0.99,0.18,0.00
0.00,0.55,0.49,0.72,0.60,0.45,0.00
0.00,0.28,0.26,0.38,0.32,0.76,0.00
0.00,0.13,0.12,0.17,0.16,0.81,0.00
0.00,0.15,0.14,0.20,0.17,0.99,0.00
0.00,0.14,0.13,0.19,0.16,0.24,0.14
0.00,0.39,0.35,0.51,0.51,0.32,0.00
0.00,0.24,0.19,0.28,0.24,0.18,0.00
0.00,0.15,0.13,0.20,0.16,0.84,0.00
0.00,0.18,0.16,0.23,0.21,0.84,0.00
0.00,0.36,0.33,0.48,0.40,0.31,0.00
0.00,0.22,0.44,0.26,0.21,0.16,0.00
0.00,0.28,0.23,0.34,0.31,0.22,0.00
0.00,0.23,0.21,0.31,0.25,0.44,0.00
0.00,0.23,0.21,0.31,0.26,0.93,0.00
0.00,0.19,0.17,0.24,0.28,0.25,0.00
0.00,0.11,0.10,0.15,0.12,0.85,0.00
0.00,0.21,0.17,0.25,0.22,0.17,0.00
0.00,0.21,0.19,0.28,0.23,0.83,0.00
0.00,0.11,0.10,0.14,0.12,0.98,0.00
0.00,0.14,0.13,0.19,0.16,1.00,0.00
0.00,0.32,0.25,0.34,0.28,0.21,0.00
0.00,0.22,0.20,0.29,0.24,0.18,0.00
0.00,0.45,0.41,0.60,0.50,0.38,0.00
0.00,0.15,0.13,0.19,0.17,0.82,0.00
0.00,0.21,0.18,0.27,0.23,0.18,0.00
0.00,0.13,0.11,0.17,0.14,0.12,0.33
0.00,0.18,0.16,0.24,0.20,0.74,0.00
0.00,0.32,0.30,0.43,0.36,0.84,0.00
0.00,0.13,0.12,0.17,0.14,0.98,0.00
0.00,0.27,0.21,0.26,0.21,0.15,0.00
0.00,0.23,0.21,0.31,0.26,0.26,0.00
0.00,0.24,0.21,0.31,0.26,0.73,0.00
0.00,0.36,0.17,0.25,0.28,0.16,0.00
0.00,0.41,0.36,0.52,0.47,0.36,0.00
0.00,0.53,0.63,0.70,0.58,0.43,0.00
0.00,0.23,0.21,0.30,0.25,0.68,0.00
0.00,0.16,0.15,0.22,0.18,0.97,0.00
0.00,0.25,0.25,0.28,0.22,0.17,0.00
0.00,0.48,0.41,0.57,0.48,0.35,0.00
0.00,0.50,0.44,0.65,0.57,0.41,0.00
0.00,0.18,0.17,0.24,0.20,0.89,0.00
0.00,0.21,0.18,0.23,0.19,0.14,0.05
0.00,0.28,0.25,0.37,0.31,0.81,0.00
0.00,0.18,0.16,0.23,0.20,0.76,0.00
0.00,0.33,0.11,0.15,0.22,0.11,0.08
0.00,0.11,0.10,0.14,0.12,0.69,0.00
0.00,0.29,0.16,0.24,0.27,0.16,0.00
0.00,0.15,0.13,0.20,0.16,0.98,0.00
0.00,0.31,0.28,0.41,0.34,0.84,0.00
0.00,0.16,0.14,0.21,0.17,0.62,0.00
0.00,0.41,0.25,0.37,0.84,0.23,0.00
0.00,0.24,0.09,0.13,0.97,0.08,0.00
0.00,0.21,0.19,0.28,0.23,0.91,0.00
0.00,0.21,0.19,0.27,0.23,0.90,0.00
0.00,0.40,0.18,0.26,0.27,0.17,0.00
0.00,0.40,0.10,0.15,0.18,0.10,0.07
0.00,0.45,0.36,0.53,0.74,0.33,0.00
0.00,0.10,0.09,0.13,0.11,0.08,0.50
0.00,0.36,0.32,0.47,0.59,0.30,0.00
0.00,0.32,0.06,0.09,0.63,0.05,0.00
0.00,0.09,0.07,0.11,0.09,0.07,0.57
0.00,0.23,0.21,0.31,0.25,0.39,0.00
0.00,0.12,0.11,0.16,0.13,0.98,0.00
0.00,0.24,0.20,0.29,0.42,0.19,0.00
0.00,0.22,0.20,0.29,0.24,0.37,0.00
0.00,0.21,0.19,0.28,0.23,0.92,0.00
0.00,0.22,0.19,0.28,0.24,0.19,0.00
0.00,0.45,0.40,0.58,0.65,0.39,0.00
0.00,0.11,0.10,0.15,0.12,1.00,0.00
0.00,0.33,0.26,0.38,0.31,0.23,0.00
0.00,0.29,0.26,0.38,0.32,0.24,0.00
0.00,0.15,0.13,0.20,0.18,0.87,0.00
0.00,0.12,0.10,0.15,0.13,0.98,0.00
0.00,0.14,0.13,0.19,0.16,0.99,0.00
0.00,0.20,0.18,0.26,0.22,0.26,0.00
0.00,0.17,0.16,0.23,0.19,0.22,0.04
0.00,0.39,0.34,0.49,0.42,0.32,0.00
0.00,0.40,0.37,0.53,0.44,0.50,0.00
0.00,0.60,0.36,0.53,0.45,0.33,0.00
0.00,0.21,0.19,0.28,0.24,0.71,0.00
0.00,0.25,0.23,0.34,0.28,0.92,0.00
0.00,0.22,0.20,0.30,0.25,0.91,0.00
0.00,0.11,0.10,0.14,0.12,0.98,0.00
0.00,0.13,0.12,0.17,0.14,0.71,0.00
0.00,0.16,0.15,0.22,0.18,0.95,0.00
0.00,0.18,0.16,0.24,0.20,0.19,0.04
0.00,0.14,0.12,0.18,0.15,0.65,0.00
0.00,0.36,0.33,0.48,0.40,0.71,0.00
0.00,0.51,0.46,0.68,0.56,0.43,0.00
0.00,0.48,0.22,0.33,0.56,0.20,0.00
0.00,0.11,0.10,0.15,0.12,0.99,0.00
0.00,0.42,0.78,0.56,0.46,0.34,0.00
0.00,0.53,0.47,0.69,0.57,0.44,0.00
0.00,0.26,0.23,0.34,0.28,0.30,0.00
0.00,0.13,0.12,0.18,0.15,0.96,0.00
0.00,0.23,0.20,0.30,0.25,0.67,0.00
0.00,0.37,0.33,0.48,0.40,0.31,0.00
0.00,0.16,0.15,0.22,0.18,0.98,0.00
0.00,0.25,0.23,0.34,0.28,0.85,0.00
0.00,0.21,0.17,0.25,0.22,0.17,0.00
0.00,0.24,0.22,0.32,0.26,0.32,0.00
0.00,0.14,0.13,0.19,0.16,0.99,0.00
0.00,0.28,0.25,0.37,0.31,0.70,0.00
0.00,0.18,0.16,0.23,0.19,0.46,0.00
0.00,0.31,0.28,0.41,0.34,0.29,0.00
0.00,0.14,0.13,0.19,0.15,1.00,0.00
0.00,0.25,0.22,0.31,0.27,0.20,0.00
0.00,0.10,0.09,0.13,0.13,0.87,0.00
0.00,0.34,0.30,0.44,0.37,0.28,0.00
0.00,0.58,0.30,0.43,0.37,0.27,0.00
0.00,0.29,0.25,0.37,0.31,0.25,0.00
0.00,0.13,0.12,0.18,0.15,0.90,0.00
0.00,0.21,0.19,0.27,0.23,0.86,0.00
0.00,0.18,0.16,0.24,0.20,0.17,0.04
0.00,0.57,0.42,0.61,0.60,0.38,0.00
0.00,0.28,0.30,0.37,0.29,0.22,0.00
0.00,0.23,0.20,0.30,0.25,0.20,0.00
0.00,0.29,0.19,0.28,0.23,0.17,0.00
0.00,0.24,0.22,0.32,0.27,0.69,0.00
0.00,0.08,0.07,0.11,0.12,0.88,0.00
0.00,0.19,0.18,0.26,0.21,0.88,0.00
0.00,0.20,0.18,0.26,0.22,0.17,0.00
0.00,0.32,0.29,0.42,0.35,0.51,0.00
0.00,0.18,0.16,0.24,0.20,0.84,0.00
0.00,0.29,0.26,0.39,0.32,0.40,0.00
0.00,0.30,0.27,0.39,0.33,0.37,0.00
0.00,0.09,0.08,0.12,0.13,0.92,0.00
0.00,0.12,0.11,0.16,0.14,0.70,0.00
0.00,0.20,0.17,0.24,0.34,0.17,0.00
0.00,0.31,0.21,0.30,0.28,0.20,0.00
0.00,0.31,0.28,0.41,0.34,0.85,0.00
0.00,0.21,0.19,0.28,0.23,0.94,0.00
0.00,0.38,0.20,0.30,0.30,0.19,0.00
0.00,0.11,0.10,0.14,0.12,1.00,0.00
0.00,0.24,0.22,0.32,0.27,0.90,0.00
0.00,0.37,0.33,0.48,0.44,0.31,0.00
0.00,0.14,0.12,0.18,0.15,1.00,0.00
0.00,0.30,0.27,0.40,0.34,0.81,0.00
0.00,0.30,0.27,0.40,0.33,0.65,0.00
0.00,0.28,0.26,0.38,0.31,0.89,0.00
0.00,0.20,0.18,0.27,0.22,0.22,0.00
0.00,0.17,0.15,0.22,0.19,0.30,0.00
0.00,0.19,0.17,0.25,0.20,0.89,0.00
0.00,0.11,0.10,0.15,0.12,0.10,0.41
0.00,0.15,0.13,0.19,0.16,1.00,0.00
0.00,0.43,0.09,0.13,0.48,0.08,0.00
0.00,0.12,0.11,0.17,0.14,0.79,0.00
0.00,0.16,0.15,0.22,0.18,0.97,0.00
0.00,0.17,0.15,0.23,0.19,0.90,0.00
0.00,0.37,0.18,0.27,0.34,0.17,0.00
0.00,0.16,0.15,0.21,0.18,0.14,0.15
0.00,0.19,0.16,0.23,0.20,0.15,0.08
0.00,0.26,0.23,0.34,0.28,0.86,0.00
0.00,0.43,0.38,0.56,0.50,0.35,0.00
0.00,0.12,0.11,0.16,0.13,0.22,0.25
0.00,0.08,0.08,0.11,0.09,0.13,0.50
0.00,0.17,0.13,0.18,0.17,0.13,0.22
0.00,0.22,0.20,0.29,0.24,0.93,0.00
0.00,0.10,0.09,0.13,0.86,0.09,0.00
0.00,0.16,0.14,0.21,0.17,0.98,0.00
0.00,0.44,0.26,0.37,0.41,0.24,0.00
0.00,0.12,0.11,0.16,0.14,0.97,0.00
0.00,0.44,0.26,0.37,0.37,0.24,0.00
0.00,0.18,0.16,0.24,0.21,0.80,0.00
0.00,0.31,0.27,0.39,0.42,0.28,0.00
0.00,0.24,0.22,0.30,0.24,0.18,0.00
0.00,0.18,0.16,0.23,0.19,0.97,0.00
0.00,0.11,0.09,0.13,0.52,0.14,0.01
0.00,0.25,0.77,0.33,0.27,0.20,0.00
0.00,0.24,0.18,0.25,0.19,0.14,0.00
0.00,0.25,0.17,0.24,0.24,0.17,0.00
0.00,0.21,0.20,0.29,0.24,0.92,0.00
0.00,0.40,0.32,0.47,0.39,0.31,0.00
0.00,0.19,0.17,0.25,0.21,0.16,0.02
0.00,0.23,0.21,0.31,0.26,0.87,0.00
0.00,0.16,0.12,0.18,0.12,0.09,0.33
0.00,0.12,0.11,0.17,0.14,0.98,0.00
0.00,0.10,0.08,0.12,0.11,0.08,0.52
0.00,0.16,0.14,0.21,0.17,0.14,0.19
0.00,0.29,0.26,0.38,0.32,0.36,0.00
0.00,0.34,0.29,0.43,0.37,0.27,0.00
0.00,0.15,0.14,0.20,0.17,0.99,0.00
0.00,0.19,0.16,0.23,0.20,0.15,0.08
0.00,0.31,0.28,0.42,0.34,0.47,0.00
0.00,0.38,0.25,0.37,0.32,0.24,0.00
0.00,0.48,0.30,0.45,0.42,0.28,0.00
0.00,0.23,0.21,0.30,0.25,0.21,0.00
0.00,0.41,0.20,0.29,0.30,0.18,0.00
0.00,0.28,0.26,0.37,0.31,0.38,0.00
0.00,0.30,0.23,0.33,0.79,0.21,0.00
0.00,0.18,0.15,0.22,0.79,0.16,0.00
0.00,0.17,0.15,0.21,0.93,0.14,0.00
0.00,0.32,0.23,0.34,0.62,0.22,0.00
0.00,0.21,0.18,0.26,0.86,0.18,0.00
0.00,0.13,0.08,0.11,1.00,0.08,0.00
0.00,0.30,0.27,0.40,0.33,0.30,0.00
0.00,0.18,0.16,0.23,0.20,0.20,0.04
0.00,0.27,0.24,0.36,0.30,0.85,0.00
0.00,0.25,0.20,0.29,0.31,0.20,0.00
0.00,0.22,0.20,0.29,0.24,0.19,0.00
0.00,0.49,0.45,0.65,0.54,0.45,0.00
0.00,0.42,0.16,0.24,0.24,0.15,0.00
0.00,0.45,0.19,0.28,0.38,0.17,0.00
0.00,0.39,0.13,0.19,0.25,0.12,0.00
0.00,0.42,0.11,0.16,0.24,0.10,0.00
0.00,0.44,0.21,0.30,0.34,0.19,0.00
0.00,0.48,0.18,0.26,0.30,0.16,0.00
0.00,0.18,0.16,0.24,0.20,0.92,0.00
0.00,0.27,0.23,0.34,0.52,0.22,0.00
0.00,0.17,0.15,0.23,0.19,0.86,0.00
0.00,0.18,0.17,0.24,0.20,0.16,0.05
0.00,0.39,0.35,0.52,0.43,0.32,0.00
0.00,0.25,0.23,0.34,0.28,0.70,0.00
0.00,0.15,0.14,0.20,0.17,0.94,0.00
0.00,0.18,0.17,0.25,0.20,0.96,0.00
0.00,0.52,0.46,0.67,0.67,0.42,0.00
0.00,0.16,0.15,0.21,0.18,0.95,0.00
0.00,0.25,0.23,0.33,0.28,0.21,0.00
0.00,0.46,0.42,0.61,0.51,0.41,0.00
0.00,0.14,0.10,0.14,0.14,0.10,0.38
0.00,0.13,0.12,0.18,0.15,0.98,0.00
0.00,0.19,0.18,0.26,0.21,0.95,0.00
0.00,0.11,0.10,0.15,0.12,1.00,0.00
0.00,0.23,0.20,0.29,0.25,0.19,0.00
0.00,0.73,0.34,0.50,0.42,0.31,0.00
0.00,0.25,0.23,0.33,0.27,0.82,0.00
0.00,0.12,0.11,0.15,0.13,0.11,0.39
0.00,0.27,0.24,0.35,0.30,0.23,0.00
0.00,0.30,0.27,0.40,0.33,0.70,0.00
0.00,0.40,0.37,0.54,0.44,0.35,0.00
0.00,0.18,0.16,0.23,0.20,0.15,0.09
0.00,0.52,0.41,0.60,0.53,0.37,0.00
0.00,0.12,0.11,0.16,0.14,0.98,0.00
0.00,0.25,0.23,0.34,0.28,0.45,0.00
0.00,0.31,0.28,0.41,0.34,0.67,0.00
0.00,0.12,0.11,0.16,0.13,0.10,0.37
0.00,0.20,0.18,0.27,0.22,0.91,0.00
0.00,0.17,0.16,0.23,0.19,0.26,0.00
0.00,0.16,0.14,0.21,0.18,0.93,0.00
0.00,0.46,0.21,0.31,0.33,0.20,0.00
0.00,0.31,0.28,0.41,0.34,0.26,0.00
0.00,0.18,0.16,0.24,0.20,0.17,0.06
0.00,0.07,0.06,0.09,0.08,1.00,0.00
0.00,0.10,0.08,0.13,0.10,0.89,0.00
0.00,0.24,0.21,0.31,0.26,0.66,0.00
0.00,0.17,0.15,0.22,0.18,0.14,0.15
0.00,0.28,0.26,0.38,0.31,0.41,0.00
0.00,0.53,0.35,0.51,0.42,0.31,0.00
0.00,0.17,0.16,0.23,0.19,0.88,0.00
0.00,0.33,0.30,0.43,0.36,0.28,0.00
0.00,0.06,0.06,0.08,0.07,1.00,0.00
0.00,0.36,0.30,0.44,0.38,0.28,0.00
0.00,0.52,0.77,0.69,0.57,0.43,0.00
0.00,0.13,0.09,0.13,0.12,0.09,0.45
0.00,0.27,0.14,0.20,0.23,0.13,0.03
0.00,0.51,0.45,0.66,0.72,0.42,0.00
0.00,0.16,0.96,0.21,0.18,0.13,0.00
0.00,0.22,0.20,0.30,0.25,0.21,0.00
0.00,0.34,0.28,0.41,0.35,0.26,0.00
0.00,0.52,0.75,0.70,0.58,0.43,0.00
0.00,0.66,0.44,0.65,0.54,0.40,0.00
0.00,0.30,0.26,0.38,0.33,0.25,0.00
0.00,0.24,0.19,0.28,0.25,0.19,0.00
0.00,0.52,0.37,0.53,0.46,0.33,0.00
0.00,0.25,0.22,0.33,0.27,0.21,0.00
0.00,0.08,0.07,0.11,0.09,0.97,0.00
0.00,0.23,0.21,0.31,0.25,0.58,0.00
0.00,0.43,0.12,0.17,0.50,0.10,0.00
0.00,0.15,0.14,0.21,0.17,0.89,0.00
0.00,0.19,0.17,0.25,0.21,0.93,0.00
0.00,0.43,0.28,0.42,0.75,0.26,0.00
0.00,0.26,0.22,0.33,0.28,0.21,0.00
0.00,0.20,0.17,0.25,0.22,0.16,0.00
0.00,0.18,0.16,0.24,0.19,0.85,0.00
0.00,0.20,0.18,0.26,0.22,0.24,0.00
0.00,0.52,0.46,0.68,0.56,0.42,0.00
0.00,0.22,0.20,0.29,0.25,0.88,0.00
0.00,0.41,0.14,0.20,0.63,0.13,0.00
0.00,0.47,0.12,0.18,0.31,0.11,0.00
0.00,0.39,0.17,0.25,0.48,0.16,0.00
0.00,0.42,0.14,0.20,0.61,0.13,0.00
0.00,0.36,0.10,0.15,0.14,0.09,0.16
0.00,0.48,0.36,0.52,0.45,0.33,0.00
0.00,0.22,0.20,0.30,0.25,0.22,0.00
0.00,0.28,0.25,0.36,0.30,0.23,0.00
0.00,0.14,0.13,0.19,0.16,0.98,0.00
0.00,0.65,0.53,0.77,0.64,0.47,0.00
0.00,0.23,0.21,0.31,0.26,0.24,0.00
0.00,0.48,0.21,0.28,0.38,0.17,0.00
0.00,0.21,0.19,0.28,0.24,0.81,0.00
0.00,0.30,0.27,0.39,0.33,0.27,0.00
0.00,0.17,0.16,0.23,0.19,0.97,0.00
0.00,0.16,0.15,0.22,0.18,0.97,0.00
0.00,0.37,0.27,0.39,0.36,0.25,0.00
0.00,0.16,0.14,0.21,0.18,0.93,0.00
0.00,0.11,0.10,0.14,0.12,0.77,0.00
0.00,0.34,0.30,0.44,0.37,0.29,0.00
0.00,0.27,0.24,0.35,0.30,0.81,0.00
0.00,0.43,0.11,0.16,0.48,0.10,0.00
0.00,0.28,0.25,0.36,0.30,0.23,0.00
0.00,0.59,0.54,0.79,0.65,0.49,0.00
0.00,0.25,0.23,0.34,0.28,0.88,0.00
0.00,0.09,0.95,0.11,0.09,0.07,0.00
0.00,0.48,0.40,0.59,0.49,0.37,0.00
0.00,0.21,0.19,0.28,0.24,0.72,0.00
0.00,0.46,0.39,0.58,0.53,0.36,0.00
0.00,0.16,0.13,0.19,0.17,0.13,0.23
0.00,0.48,0.41,0.60,0.50,0.38,0.00
0.00,0.09,0.08,0.12,0.10,0.08,0.53
0.00,0.22,0.20,0.29,0.24,0.20,0.00
0.00,0.41,0.36,0.53,0.44,0.33,0.00
0.00,0.44,0.14,0.20,0.26,0.13,0.00
0.00,0.14,0.13,0.19,0.15,1.00,0.00
0.00,0.14,0.11,0.17,0.15,0.13,0.31
0.00,0.37,0.34,0.49,0.41,0.82,0.00
0.00,0.37,0.34,0.49,0.41,0.59,0.00
0.00,0.18,0.14,0.21,0.19,0.14,0.14
0.00,0.17,0.16,0.23,0.19,0.97,0.00
0.00,0.26,0.20,0.31,0.24,0.18,0.00
0.00,0.32,0.17,0.25,0.93,0.16,0.00
0.00,0.20,0.18,0.26,0.22,0.21,0.00
0.00,0.12,0.11,0.17,0.14,1.00,0.00
0.00,0.18,0.17,0.24,0.20,0.96,0.00
0.00,0.18,0.15,0.22,0.19,0.16,0.10
0.00,0.20,0.08,0.12,1.00,0.08,0.00
0.00,0.41,0.20,0.29,0.31,0.18,0.00
0.00,0.45,0.18,0.27,0.28,0.17,0.00
0.00,0.46,0.27,0.39,0.49,0.25,0.00
0.00,0.48,0.20,0.30,0.31,0.19,0.00
0.00,0.49,0.25,0.36,0.36,0.22,0.00
0.00,0.48,0.18,0.26,0.44,0.16,0.00
0.00,0.19,0.17,0.25,0.20,0.37,0.00
0.00,0.19,0.74,0.24,0.20,0.15,0.00
0.00,0.08,0.07,0.11,0.09,0.08,0.56
0.00,0.32,0.29,0.42,0.35,0.27,0.00
0.00,0.34,0.29,0.42,0.36,0.27,0.00
0.00,0.36,0.27,0.40,0.34,0.25,0.00
0.00,0.05,0.05,0.07,0.06,1.00,0.00
0.00,0.12,0.11,0.16,0.13,0.99,0.00
0.00,0.27,0.25,0.36,0.31,0.83,0.00
0.00,0.23,0.21,0.30,0.25,0.35,0.00
0.00,0.26,0.23,0.34,0.29,0.22,0.00
0.00,0.18,0.15,0.22,1.00,0.14,0.00
0.00,0.24,0.23,0.31,0.25,0.18,0.00
0.00,0.18,0.16,0.24,0.20,0.16,0.05
0.00,0.22,0.19,0.28,0.24,0.18,0.00
0.00,0.20,0.18,0.26,0.21,0.81,0.00
0.00,0.48,0.24,0.36,0.33,0.22,0.00
0.00,0.13,0.12,0.18,0.15,0.21,0.21
0.00,0.25,0.22,0.32,0.27,0.21,0.00
0.00,0.16,0.13,0.20,0.17,0.13,0.21
0.00,0.14,0.13,0.19,0.15,1.00,0.00
0.00,0.22,0.20,0.29,0.24,0.91,0.00
0.00,0.26,0.24,0.35,0.29,0.69,0.00
0.00,0.26,0.24,0.35,0.29,0.40,0.00
0.00,0.24,0.22,0.32,0.27,0.33,0.00
0.00,0.14,0.13,0.19,0.16,0.87,0.00
0.00,0.14,0.13,0.19,0.16,0.19,0.19
0.00,0.48,0.15,0.21,0.23,0.13,0.00
0.00,0.43,0.33,0.43,0.36,0.26,0.00
0.00,0.21,0.19,0.28,0.23,0.93,0.00
0.00,0.13,0.11,0.17,0.14,0.12,0.34
0.00,0.41,0.38,0.55,0.46,0.52,0.00
0.00,0.45,0.41,0.60,0.49,0.41,0.00
0.00,0.27,0.26,0.34,0.27,0.20,0.00
0.00,0.23,0.21,0.30,0.25,0.78,0.00
0.00,0.17,0.16,0.23,0.19,0.98,0.00
0.00,0.17,0.16,0.23,0.19,0.97,0.00
0.00,0.16,0.15,0.21,0.18,0.20,0.11
0.00,0.15,0.14,0.20,0.17,0.14,0.20
0.00,0.13,0.12,0.18,0.15,1.00,0.00
0.00,0.24,0.21,0.31,0.26,0.20,0.00
0.00,0.15,0.14,0.20,0.17,0.86,0.00
0.00,0.17,0.15,0.22,0.19,0.84,0.00
0.00,0.18,0.16,0.24,0.20,0.93,0.00
0.00,0.27,0.25,0.36,0.30,0.86,0.00
0.00,0.15,0.13,0.20,0.16,1.00,0.00
0.00,0.21,0.19,0.28,0.23,0.94,0.00
0.00,0.20,0.18,0.27,0.22,0.96,0.00
0.00,0.23,0.21,0.31,0.26,0.89,0.00
0.00,0.24,0.22,0.32,0.27,0.77,0.00
0.00,0.16,0.13,0.19,0.17,0.13,0.22
0.00,0.19,0.17,0.25,0.21,0.20,0.00
0.00,0.34,0.31,0.45,0.37,0.81,0.00
0.00,0.41,0.37,0.54,0.44,0.64,0.00
0.00,0.59,0.34,0.50,0.62,0.31,0.00
0.00,0.31,0.45,0.39,0.31,0.23,0.00
0.00,0.11,0.10,0.14,0.12,0.10,0.42
0.00,0.28,0.24,0.35,0.36,0.24,0.00
0.00,0.32,0.28,0.41,0.59,0.26,0.00
0.00,0.22,0.20,0.29,0.24,0.18,0.00
0.00,0.31,0.25,0.36,0.74,0.23,0.00
0.00,0.31,0.18,0.26,0.59,0.17,0.00
0.00,0.19,0.11,0.16,0.88,0.10,0.00
0.00,0.16,0.14,0.20,0.69,0.14,0.00
0.00,0.20,0.18,0.27,0.22,0.54,0.00
0.00,0.08,0.07,0.10,0.09,0.08,0.58
0.00,0.17,0.16,0.23,0.19,0.92,0.00
0.00,0.15,0.13,0.19,0.16,0.75,0.00
0.00,0.19,0.13,0.19,0.18,0.13,0.18
0.00,0.31,0.29,0.42,0.35,0.87,0.00
0.00,0.40,0.35,0.51,0.49,0.32,0.00
0.00,0.24,0.16,0.23,0.23,0.15,0.00
0.00,0.15,0.14,0.20,0.16,0.95,0.00
0.00,0.35,0.32,0.46,0.39,0.33,0.00
0.00,0.20,0.18,0.27,0.22,0.22,0.00
0.00,0.17,0.16,0.23,0.19,0.95,0.00
0.00,0.14,0.13,0.19,0.16,0.98,0.00
0.00,0.16,0.13,0.19,0.17,0.13,0.22
0.00,0.62,0.34,0.50,0.41,0.31,0.00
0.00,0.67,0.41,0.59,0.51,0.37,0.00
0.00,0.16,0.13,0.20,0.17,0.13,0.22
0.00,0.29,0.25,0.37,0.31,0.23,0.00
0.00,0.20,0.15,0.22,0.17,0.13,0.14
0.00,0.11,0.09,0.14,0.11,0.77,0.00
0.00,0.24,0.22,0.32,0.27,0.20,0.00
0.00,0.30,0.11,0.16,0.73,0.10,0.00
0.00,0.10,0.09,0.13,0.11,0.25,0.32
0.00,0.30,0.24,0.35,0.32,0.23,0.00
0.00,0.41,0.37,0.54,0.45,0.50,0.00
0.00,0.27,0.25,0.36,0.30,0.81,0.00
0.00,0.16,0.11,0.16,0.12,0.09,0.35
0.00,0.41,0.36,0.53,0.55,0.34,0.00
0.00,0.65,0.58,0.85,0.70,0.52,0.00
0.00,0.19,0.17,0.25,0.21,0.17,0.00
0.00,0.33,0.29,0.42,0.38,0.29,0.00
0.00,0.31,0.29,0.42,0.35,0.38,0.00
0.00,0.22,0.14,0.21,0.20,0.15,0.08
0.00,0.18,0.17,0.24,0.20,0.68,0.00
0.00,0.44,0.38,0.56,0.50,0.36,0.00
0.00,0.24,0.31,0.24,0.20,0.14,0.00
0.00,0.15,0.14,0.20,0.17,0.97,0.00
0.00,0.44,0.23,0.34,0.31,0.21,0.00
0.00,0.18,0.16,0.23,0.19,0.19,0.05
0.00,0.32,0.29,0.42,0.35,0.27,0.00
0.00,0.15,0.13,0.19,0.17,0.13,0.22
0.00,0.46,0.42,0.61,0.51,0.38,0.00
0.00,0.25,0.23,0.33,0.27,0.30,0.00
0.00,0.11,0.10,0.15,0.13,0.88,0.00
0.00,0.17,0.15,0.22,0.18,0.90,0.00
0.00,0.22,0.20,0.30,0.25,0.30,0.00
0.00,0.24,0.22,0.32,0.27,0.24,0.00
0.00,0.13,0.11,0.17,0.14,0.94,0.00
0.00,0.11,0.10,0.15,0.12,1.00,0.00
0.00,0.09,0.08,0.12,0.10,0.95,0.00
0.00,0.49,0.37,0.53,0.55,0.33,0.00
0.00,0.13,0.12,0.18,0.15,1.00,0.00
0.00,0.41,0.36,0.54,0.43,0.33,0.00
0.00,0.55,0.49,0.72,0.59,0.44,0.00
0.00,0.20,0.18,0.27,0.22,0.95,0.00
0.00,0.16,0.14,0.21,0.17,1.00,0.00
0.00,0.18,0.16,0.24,0.19,0.99,0.00
0.00,0.21,0.18,0.27,0.33,0.21,0.00
0.00,0.18,0.16,0.24,0.20,0.15,0.06
0.00,0.22,0.17,0.25,0.23,0.16,0.00
0.00,0.23,0.13,0.20,0.15,0.11,0.18
0.00,0.26,0.23,0.34,0.29,0.22,0.00
0.00,0.29,0.25,0.37,0.31,0.24,0.00
0.00,0.24,0.21,0.31,0.27,0.20,0.00
0.00,0.07,0.06,0.09,0.08,1.00,0.00
